Wafer,Session,Die,Device,TestSite,DieCol,DieRow,Band,DesignWavelength_nm,FSR_nm,Notch_at_0V_nm,dLambda_dV_pm_per_V,PeakIL_dB,PeakIL_near_1310_dB,I_at_-1V_pA,I_at_-2V_pA,FailedContact,Pass_I_at_-1V_pA,Pass_dLambda_dV_pm_per_V,Pass_PeakIL_near_1310_dB,Pass_FSR_nm,Pass
D08,20190526_082853,"(3,-1)",MZMOTE_LULAB_380_500,DCM_LMZO,3,-1,O,1310.0,9.901599999999917,1307.53,-217.21142857124173,-9.008456373214722,-9.008456373214722,53568.05,96864.38,False,True,True,True,True,True
D08,20190526_082853,"(-3,-3)",MZMOTE_LULAB_380_500,DCM_LMZO,-3,-3,O,1310.0,9.83660000000009,1308.0264,-182.0857142854467,-9.940737199783324,-9.940737199783324,67618.09999999999,125198.70000000001,False,True,True,True,True,True
D08,20190526_082853,"(0,-3)",MZMOTE_LULAB_380_500,DCM_LMZO,0,-3,O,1310.0,9.820300000000088,1306.2246,-167.645714285493,-8.224853515625,-8.224853515625,38477.920000000006,71476.76,False,True,True,True,True,True
D08,20190526_082853,"(2,-3)",MZMOTE_LULAB_380_500,DCM_LMZO,2,-3,O,1310.0,9.889099999999871,1313.6828,-185.74285714259335,-8.631327962875366,-8.631327962875366,59376.85,109153.7,False,True,True,True,True,True
D08,20190526_082853,"(-1,-4)",MZMOTE_LULAB_380_500,DCM_LMZO,-1,-4,O,1310.0,9.711000000000013,1310.5799,-181.07428571393172,-8.447550773620605,-8.447550773620605,76404.6,142494.30000000002,False,True,True,True,True,True
D08,20190526_082853,"(-4,0)",MZMOTE_LULAB_380_500,DCM_LMZO,-4,0,O,1310.0,9.753200000000106,1313.6022,-184.4057142855397,-8.328320455551147,-8.328320455551147,76362.18999999999,143189.0,False,True,True,True,True,True
D08,20190526_082853,"(0,0)",MZMOTE_LULAB_380_500,DCM_LMZO,0,0,O,1310.0,9.863800000000083,1312.432,-169.09714285687073,-6.367280507087708,-6.367280507087708,72038.03,133283.9,False,True,True,True,True,True
D08,20190526_082853,"(2,0)",MZMOTE_LULAB_380_500,DCM_LMZO,2,0,O,1310.0,9.852300000000014,1312.7709,-195.00571428580014,-7.0068135261535645,-7.0068135261535645,34444.759999999995,63792.97,False,True,True,True,True,True
D08,20190526_082853,"(-1,2)",MZMOTE_LULAB_380_500,DCM_LMZO,-1,2,O,1310.0,9.867100000000164,1311.8792,-194.99999999958465,-6.362979412078857,-6.362979412078857,35368.33,65804.3,False,True,True,True,True,True
D08,20190526_082853,"(-3,2)",MZMOTE_LULAB_380_500,DCM_LMZO,-3,2,O,1310.0,9.734699999999975,1314.7933,-183.58285714280657,-7.743221759796143,-7.743221759796143,63460.43,117965.8,False,True,True,True,True,True
D08,20190526_082853,"(2,2)",MZMOTE_LULAB_380_500,DCM_LMZO,2,2,O,1310.0,9.816100000000006,1310.1292,-195.67999999962268,-7.366436004638672,-7.366436004638672,39447.5,73537.76,False,True,True,True,True,True
D08,20190526_082853,"(0,3)",MZMOTE_LULAB_380_500,DCM_LMZO,0,3,O,1310.0,9.776399999999967,1310.5995,-168.81142857105354,-6.863186359405518,-6.863186359405518,53002.57,96441.48000000001,False,True,True,True,True,True
D08,20190712_113254,"(-1,-1)",MZMCTE_LULAB_450_500,DCM_LMZC,-1,-1,C,1550.0,14.364392100000032,1547.8397239,-228.52459314283317,-9.750843915343916,-9.750843915343916,-1.0808820000000001,68.93766000000001,True,True,True,True,False,False
D08,20190712_113254,"(-3,-1)",MZMCTE_LULAB_450_500,DCM_LMZC,-3,-1,C,1550.0,14.359011059999943,1543.78591385,-219.77997371390714,-10.399971092752262,-10.399971092752262,489.42350000000005,1769.285,True,True,True,True,False,False
D08,20190712_113254,"(3,-1)",MZMCTE_LULAB_450_500,DCM_LMZC,3,-1,C,1550.0,14.109135410000135,1546.37258399,-220.3990771426965,-10.923497354497353,-10.923497354497353,268.9357,1101.3090000000002,True,True,True,True,False,False
D08,20190712_113254,"(-3,-3)",MZMCTE_LULAB_450_500,DCM_LMZC,-3,-3,C,1550.0,14.319985490000136,1548.58710168,-221.81211199968334,-10.514063492063492,-10.514063492063492,560.15,1657.994,True,True,True,True,False,False
D08,20190712_113254,"(0,-3)",MZMCTE_LULAB_450_500,DCM_LMZC,0,-3,C,1550.0,14.236431684999957,1554.95679814,-244.6593617141218,-10.466218772814091,-10.466218772814091,278.5752,1127.307,True,True,True,True,False,False
D08,20190712_113254,"(2,-3)",MZMCTE_LULAB_450_500,DCM_LMZC,2,-3,C,1550.0,14.168371194999963,1551.62027666,-247.99721599961637,-12.608555015951225,-12.608555015951225,1991.348,3803.3509999999997,False,True,True,False,False,False
D08,20190712_113254,"(-1,-4)",MZMCTE_LULAB_450_500,DCM_LMZC,-1,-4,C,1550.0,14.237720280000076,1545.93200715,-246.0254834281174,-9.848788359788362,-9.848788359788362,2718.2839999999997,4770.344,False,True,True,True,False,False
D08,20190712_113254,"(-4,0)",MZMCTE_LULAB_450_500,DCM_LMZC,-4,0,C,1550.0,14.349130150000065,1550.15858542,-228.88256171402952,-14.140179279787933,-14.140179279787933,2078.31,3970.5979999999995,False,True,True,False,False,False
D08,20190712_113254,"(0,0)",MZMCTE_LULAB_450_500,DCM_LMZC,0,0,C,1550.0,14.23807942999997,1547.75668406,-239.4318097139798,-10.339654260171502,-10.339654260171502,-5.754345000000001,17.905060000000002,True,True,True,True,False,False
D08,20190712_113254,"(2,0)",MZMCTE_LULAB_450_500,DCM_LMZC,2,0,C,1550.0,14.24123325000005,1549.28690078,-253.28438571430078,-10.865858201058204,-10.865858201058204,79.61963,483.5394,True,True,True,True,False,False
D08,20190712_113254,"(-1,2)",MZMCTE_LULAB_450_500,DCM_LMZC,-1,2,C,1550.0,14.125601969999934,1545.70274393,-240.16319199964,-9.978492063492064,-9.978492063492064,45.73714,346.7994,True,True,True,True,False,False
D08,20190712_113254,"(-3,2)",MZMCTE_LULAB_450_500,DCM_LMZC,-3,2,C,1550.0,14.264201689999936,1542.99736095,-254.58630285678618,-11.952224411682552,-11.952224411682552,1951.4189999999999,3960.458,False,True,True,True,False,False
D08,20190712_113254,"(2,2)",MZMCTE_LULAB_450_500,DCM_LMZC,2,2,C,1550.0,14.297158189999891,1550.51880938,-248.61689028519672,-13.710507343081764,-13.710507343081764,399.5418,1404.75,True,True,True,False,False,False
D08,20190712_113254,"(0,3)",MZMCTE_LULAB_450_500,DCM_LMZC,0,3,C,1550.0,14.141082430000097,1547.45513553,-196.35336228540046,-10.584843915343916,-10.584843915343916,853.4919,2234.832,True,True,True,True,False,False
D23,20190531_072042,"(-1,-1)",MZMOTE_LULAB_380_500,DCM_LMZO,-1,-1,O,1310.0,9.954000000000178,1314.6781,2.0342857145958053,-7.220126652717591,-7.220126652717591,-120.80739999999999,-34.87231,True,True,False,True,True,False
D23,20190531_072042,"(-3,-1)",MZMOTE_LULAB_380_500,DCM_LMZO,-3,-1,O,1310.0,9.932500000000118,1307.7591,-1.3257142853976112,-9.2603253364563,-9.2603253364563,-118.7963,-73.41957000000001,True,True,False,True,True,False
D23,20190531_072042,"(3,-1)",MZMOTE_LULAB_380_500,DCM_LMZO,3,-1,O,1310.0,9.882000000000062,1314.903,-4.42857142832217,-8.155855178833008,-8.155855178833008,-121.2264,-31.981400000000004,True,True,False,True,True,False
D23,20190531_072042,"(-3,-3)",MZMOTE_LULAB_380_500,DCM_LMZO,-3,-3,O,1310.0,9.888799999999947,1307.2917,-1.2800000002178018,-9.92493600845337,-9.92493600845337,-117.62310000000001,-74.46708,True,True,False,True,True,False
D23,20190531_072042,"(0,-3)",MZMOTE_LULAB_380_500,DCM_LMZO,0,-3,O,1310.0,9.76220000000012,1313.065,2.3657142860854714,-7.472960638999939,-7.472960638999939,-120.7655,-64.57880999999999,True,True,False,True,True,False
D23,20190531_072042,"(2,-3)",MZMOTE_LULAB_380_500,DCM_LMZO,2,-3,O,1310.0,9.7179000000001,1310.5123,-0.24571428581153937,-7.815724277496338,-7.815724277496338,-120.6398,-64.41127,True,True,False,True,True,False
D23,20190531_072042,"(-1,-4)",MZMOTE_LULAB_380_500,DCM_LMZO,-1,-4,O,1310.0,9.767000000000053,1309.4731,-2.9942857142229102,-10.237365865707398,-10.237365865707398,-117.70689999999999,-66.63189,True,True,False,True,True,False
D23,20190531_072042,"(-4,0)",MZMOTE_LULAB_380_500,DCM_LMZO,-4,0,O,1310.0,9.847400000000107,1313.3775,-0.9771428568076458,-8.163832664489746,-8.163832664489746,-120.2628,-71.24080000000001,True,True,False,True,True,False
D23,20190531_072042,"(0,0)",MZMOTE_LULAB_380_500,DCM_LMZO,0,0,O,1310.0,9.966900000000123,1314.8037,-4.1257142855346185,-6.889073371887207,-6.889073371887207,-119.5505,-65.20733,True,True,False,True,True,False
D23,20190531_072042,"(2,0)",MZMOTE_LULAB_380_500,DCM_LMZO,2,0,O,1310.0,9.787199999999984,1313.8005,2.7714285717089644,-7.172109436988831,-7.172109436988831,-120.2209,-36.04553,True,True,False,True,True,False
D23,20190531_072042,"(-1,2)",MZMOTE_LULAB_380_500,DCM_LMZO,-1,2,O,1310.0,9.973099999999931,1305.0242,0.6628571429651829,-6.998764562606811,-6.998764562606811,-117.1204,-38.14053,True,True,False,True,True,False
D23,20190531_072042,"(-3,2)",MZMOTE_LULAB_380_500,DCM_LMZO,-3,2,O,1310.0,9.878600000000006,1309.0887,0.08000000024544951,-8.593019485473633,-8.593019485473633,-120.80739999999999,-37.84722,True,True,False,True,True,False
D23,20190531_072042,"(2,2)",MZMOTE_LULAB_380_500,DCM_LMZO,2,2,O,1310.0,9.782900000000154,1311.3059,-14.634285714233897,-6.570165157318115,-6.570165157318115,-120.3885,-36.00362,True,True,False,True,True,False
D23,20190531_072042,"(0,3)",MZMOTE_LULAB_380_500,DCM_LMZO,0,3,O,1310.0,9.825300000000198,1310.6473,-0.15999999956392527,-6.905231475830078,-6.905231475830078,-116.74329999999999,-67.51183999999999,True,True,False,True,True,False
D23,20190603_204847,"(-1,-1)",MZMOTE_LULAB_380_500,DCM_LMZO,-1,-1,O,1310.0,9.936299999999846,1314.6543,-124.05142857138041,-7.23802125453949,-7.23802125453949,213936.40000000002,422613.9,False,True,True,True,True,True
D23,20190603_204847,"(-3,-1)",MZMOTE_LULAB_380_500,DCM_LMZO,-3,-1,O,1310.0,9.779600000000073,1307.7653,-118.58857142852096,-9.607523918151855,-9.607523918151855,220654.9,435580.0,False,True,True,True,True,True
D23,20190603_204847,"(3,-1)",MZMOTE_LULAB_380_500,DCM_LMZO,3,-1,O,1310.0,9.92470000000003,1314.8851,-147.30285714258247,-8.078666162490846,-8.078666162490846,133723.3,259399.30000000002,False,True,True,True,True,True
D23,20190603_204847,"(-3,-3)",MZMOTE_LULAB_380_500,DCM_LMZO,-3,-3,O,1310.0,9.851100000000088,1307.2708,-112.53714285701761,-9.891438484191895,-9.891438484191895,189391.19999999998,372535.5,False,True,True,True,True,True
D23,20190603_204847,"(0,-3)",MZMOTE_LULAB_380_500,DCM_LMZO,0,-3,O,1310.0,9.740599999999858,1313.0237,-139.9828571426891,-7.410173416137695,-7.410173416137695,173540.30000000002,340431.0,False,True,True,True,True,True
D23,20190603_204847,"(2,-3)",MZMOTE_LULAB_380_500,DCM_LMZO,2,-3,O,1310.0,9.744300000000067,1310.4999,-147.79999999978634,-7.902754926681519,-7.902754926681519,143576.6,279372.8,False,True,True,True,True,True
D23,20190603_204847,"(-1,-4)",MZMOTE_LULAB_380_500,DCM_LMZO,-1,-4,O,1310.0,9.697799999999916,1309.3776,-136.58857142830055,-10.18035888671875,-10.18035888671875,199683.8,393715.4,False,True,True,True,True,True
D23,20190603_204847,"(-4,0)",MZMOTE_LULAB_380_500,DCM_LMZO,-4,0,O,1310.0,9.890299999999797,1313.3509,-135.73142857132336,-8.143417739868164,-8.143417739868164,175898.19999999998,345184.80000000005,False,True,True,True,True,True
D23,20190603_204847,"(0,0)",MZMOTE_LULAB_380_500,DCM_LMZO,0,0,O,1310.0,9.946099999999888,1314.89,-125.83428571430686,-6.889528274536133,-6.889528274536133,238917.8,473359.0,False,True,True,True,True,True
D23,20190603_204847,"(2,0)",MZMOTE_LULAB_380_500,DCM_LMZO,2,0,O,1310.0,9.834299999999985,1313.7595,-134.93142857129882,-7.092537927627563,-7.092537927627563,170937.6,335297.8,False,True,True,True,True,True
D23,20190603_204847,"(-1,2)",MZMOTE_LULAB_380_500,DCM_LMZO,-1,2,O,1310.0,9.969499999999925,1305.037,-118.97714285673716,-7.132037162780762,-7.132037162780762,188534.8,370558.5,False,True,True,True,True,True
D23,20190603_204847,"(-3,2)",MZMOTE_LULAB_380_500,DCM_LMZO,-3,2,O,1310.0,9.879799999999932,1309.0519,-135.8799999995683,-8.493072509765625,-8.493072509765625,155611.7,304250.2,False,True,True,True,True,True
D23,20190603_204847,"(2,2)",MZMOTE_LULAB_380_500,DCM_LMZO,2,2,O,1310.0,9.818500000000085,1311.3043,-127.97142857095228,-6.635082244873047,-6.635082244873047,130227.7,252618.69999999998,False,True,True,True,True,True
D23,20190603_204847,"(0,3)",MZMOTE_LULAB_380_500,DCM_LMZO,0,3,O,1310.0,9.747699999999895,1310.5671,-137.80571428537803,-6.896923065185547,-6.896923065185547,135814.30000000002,263769.5,False,True,True,True,True,True
D24,20190531_151815,"(-1,-1)",MZMOTE_LULAB_380_500,DCM_LMZO,-1,-1,O,1310.0,9.88110000000006,1312.6222,-1.5657142853346697,-6.8826783180236815,-6.8826783180236815,-117.707,-70.61231000000001,True,True,False,True,True,False
D24,20190531_151815,"(-3,-1)",MZMOTE_LULAB_380_500,DCM_LMZO,-3,-1,O,1310.0,9.934799999999996,1307.3969,-2.0285714283336795,-8.801641464233398,-8.801641464233398,-118.41919999999999,-70.86372,True,True,False,True,True,False
D24,20190531_151815,"(3,-1)",MZMOTE_LULAB_380_500,DCM_LMZO,3,-1,O,1310.0,9.796400000000176,1305.7441,-2.4685714285428215,-8.687175750732422,-8.687175750732422,-119.6762,-72.91679,True,True,False,True,True,False
D24,20190531_151815,"(-3,-3)",MZMOTE_LULAB_380_500,DCM_LMZO,-3,-3,O,1310.0,9.942299999999932,1306.2409,0.8285714288042372,-9.930381774902344,-9.930381774902344,-120.59790000000001,-66.79948,True,True,False,True,True,False
D24,20190531_151815,"(0,-3)",MZMOTE_LULAB_380_500,DCM_LMZO,0,-3,O,1310.0,9.78189999999995,1313.5972,-3.102857142729399,-8.186590194702148,-8.186590194702148,-122.77650000000001,-65.58445,True,True,False,True,True,False
D24,20190531_151815,"(2,-3)",MZMOTE_LULAB_380_500,DCM_LMZO,2,-3,O,1310.0,9.785900000000083,1309.8481,-3.057142856645779,-9.139732360839844,-9.139732360839844,-113.0561,-69.14587,True,True,False,True,True,False
D24,20190531_151815,"(-1,-4)",MZMOTE_LULAB_380_500,DCM_LMZO,-1,-4,O,1310.0,9.757299999999987,1309.3092,30.92000000045567,-10.716476440429688,-10.716476440429688,-120.30470000000001,-68.01458,True,True,False,True,True,False
D24,20190531_151815,"(-4,0)",MZMOTE_LULAB_380_500,DCM_LMZO,-4,0,O,1310.0,9.91210000000001,1312.4095,0.5028571429144106,-8.372539520263672,-8.372539520263672,-122.3995,-37.260580000000004,True,True,False,True,True,False
D24,20190531_151815,"(0,0)",MZMOTE_LULAB_380_500,DCM_LMZO,0,0,O,1310.0,9.902499999999918,1313.6242,-7.039999999985589,-6.8527559518814085,-6.8527559518814085,-120.0114,-32.232679999999995,True,True,False,True,True,False
D24,20190531_151815,"(2,0)",MZMOTE_LULAB_380_500,DCM_LMZO,2,0,O,1310.0,9.819799999999987,1310.7002,-5.057142857239355,-7.046367168426514,-7.046367168426514,-120.9331,-62.483909999999995,True,True,False,True,True,False
D24,20190531_151815,"(-1,2)",MZMOTE_LULAB_380_500,DCM_LMZO,-1,2,O,1310.0,9.86480000000006,1313.7972,-0.6457142855096668,-6.502496719360352,-6.502496719360352,-122.8184,-72.16256,True,True,False,True,True,False
D24,20190531_151815,"(-3,2)",MZMOTE_LULAB_380_500,DCM_LMZO,-3,2,O,1310.0,9.815499999999929,1307.4864,7.314285714628467,-7.962082386016846,-7.962082386016846,-119.13149999999999,-66.50624,True,True,False,True,True,False
D24,20190531_151815,"(2,2)",MZMOTE_LULAB_380_500,DCM_LMZO,2,2,O,1310.0,9.830800000000067,1308.3986,11.874285714172565,-8.407565927505493,-8.407565927505493,-120.43039999999999,-73.50338,True,True,False,True,True,False
D24,20190531_151815,"(0,3)",MZMOTE_LULAB_380_500,DCM_LMZO,0,3,O,1310.0,9.89689999999996,1308.0921,4.65142857154884,-7.670004367828369,-7.670004367828369,-121.8548,-39.02045,True,True,False,True,True,False
D24,20190603_225101,"(-1,-1)",MZMOTE_LULAB_380_500,DCM_LMZO,-1,-1,O,1310.0,9.820900000000165,1312.4875,-110.18857142820373,-6.977557182312012,-6.977557182312012,304715.8,605403.4,False,True,True,True,True,True
D24,20190603_225101,"(-3,-1)",MZMOTE_LULAB_380_500,DCM_LMZO,-3,-1,O,1310.0,9.834499999999935,1307.3978,-107.65142857144596,-9.097068452835083,-9.097068452835083,299828.89999999997,595391.5,False,True,True,True,True,True
D24,20190603_225101,"(3,-1)",MZMOTE_LULAB_380_500,DCM_LMZO,3,-1,O,1310.0,9.78060000000005,1305.6861,-123.64571428563018,-8.669951438903809,-8.669951438903809,233058.5,460699.0,False,True,True,True,True,True
D24,20190603_225101,"(-3,-3)",MZMOTE_LULAB_380_500,DCM_LMZO,-3,-3,O,1310.0,9.85349999999994,1306.2426,-147.6628571427604,-9.901712322235108,-9.901712322235108,254913.30000000002,504288.89999999997,False,True,True,True,True,True
D24,20190603_225101,"(0,-3)",MZMOTE_LULAB_380_500,DCM_LMZO,0,-3,O,1310.0,9.755699999999933,1313.5701,-138.2571428570964,-8.006197690963745,-8.006197690963745,265657.80000000005,526489.3,False,True,True,True,True,True
D24,20190603_225101,"(2,-3)",MZMOTE_LULAB_380_500,DCM_LMZO,2,-3,O,1310.0,9.776599999999917,1309.8096,-132.16571428561312,-9.180018043518066,-9.180018043518066,225853.1,446154.1,False,True,True,True,True,True
D24,20190603_225101,"(-1,-4)",MZMOTE_LULAB_380_500,DCM_LMZO,-1,-4,O,1310.0,9.688700000000154,1309.1374,-136.79428571421184,-10.497353553771973,-10.497353553771973,263335.1,521719.7,False,True,True,True,True,True
D24,20190603_225101,"(-4,0)",MZMOTE_LULAB_380_500,DCM_LMZO,-4,0,O,1310.0,9.75200000000018,1312.3581,-131.1428571428556,-8.283376550674438,-8.283376550674438,254443.4,503521.4,False,True,True,True,True,True
D24,20190603_225101,"(0,0)",MZMOTE_LULAB_380_500,DCM_LMZO,0,0,O,1310.0,9.911200000000008,1313.5977,-112.95999999968997,-6.977410554885864,-6.977410554885864,305591.8,607136.5,False,True,True,True,True,True
D24,20190603_225101,"(2,0)",MZMOTE_LULAB_380_500,DCM_LMZO,2,0,O,1310.0,9.827800000000025,1310.6992,-123.34857142849667,-6.921209287643433,-6.921209287643433,278712.5,552951.0,False,True,True,True,True,True
D24,20190603_225101,"(-1,2)",MZMOTE_LULAB_380_500,DCM_LMZO,-1,2,O,1310.0,9.89930000000004,1313.7914,-116.36571428582072,-6.590469908714295,-6.590469908714295,290124.89999999997,575804.3,False,True,True,True,True,True
D24,20190603_225101,"(-3,2)",MZMOTE_LULAB_380_500,DCM_LMZO,-3,2,O,1310.0,9.790300000000116,1307.4698,-125.85714285714036,-7.951786637306213,-7.951786637306213,251198.4,496789.3,False,True,True,True,True,True
D24,20190603_225101,"(2,2)",MZMOTE_LULAB_380_500,DCM_LMZO,2,2,O,1310.0,9.91969999999992,1308.342,-118.0857142854629,-8.303727912902833,-8.303727912902833,230504.59999999998,455397.4,False,True,True,True,True,True
D24,20190603_225101,"(0,3)",MZMOTE_LULAB_380_500,DCM_LMZO,0,3,O,1310.0,9.864199999999983,1308.0452,-134.2457142854457,-7.602255344390869,-7.602255344390869,236981.5,468637.7,False,True,True,True,True,True
